"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","Можно авторизоваться под существующим пользователем","tests","2026-09-22","passed","2026-09-22","TestLoginUser","test_login_user","",""
"","125","Нельзя авторизоваться с неверным логином и паролем","tests","2026-09-22","passed","2026-09-22","TestLoginUser","test_login_user","",""
"","36","Нельзя создать заказ без ингредиентов","tests","2026-09-22","passed","2026-09-22","TestCreateOrder","test_create_order","",""
"","194","Нельзя авторизоваться с неверным логином и паролем","tests","2026-09-22","passed","2026-09-22","TestLoginUser","test_login_user","",""
"","42","Нельзя создать пользователя без обязательного поля","tests","2026-09-22","passed","2026-09-22","TestCreateUser","test_create_user","",""
"","799","Можно создать заказ с авторизацией и ингредиентами","tests","2026-09-22","passed","2026-09-22","TestCreateOrder","test_create_order","",""
"","40","Можно создать заказ без авторизации","tests","2026-09-22","passed","2026-09-22","TestCreateOrder","test_create_order","",""
"","122","Нельзя создать пользователя, который уже зарегистрирован","tests","2026-09-22","passed","2026-09-22","TestCreateUser","test_create_user","",""
"","45","Можно изменить данные авторизованного пользователя","tests","2026-09-22","passed","2026-09-22","TestUpdateUser","test_update_user","",""
"","128","Можно изменить данные авторизованного пользователя","tests","2026-09-22","passed","2026-09-22","TestUpdateUser","test_update_user","",""
"","33","Нельзя изменить данные пользователя без авторизации","tests","2026-09-22","passed","2026-09-22","TestUpdateUser","test_update_user","",""
"","130","Нельзя создать заказ с неверным хешем ингредиента","tests","2026-09-22","passed","2026-09-22","TestCreateOrder","test_create_order","",""
"","984","Можно получить заказы авторизованного пользователя","tests","2026-09-22","passed","2026-09-22","TestGetOrders","test_get_orders","",""
"","40","Нельзя создать пользователя без обязательного поля","tests","2026-09-22","passed","2026-09-22","TestCreateUser","test_create_user","",""
"","447","Можно изменить данные авторизованного пользователя","tests","2026-09-22","passed","2026-09-22","TestUpdateUser","test_update_user","",""
"","117","Нельзя получить заказы без авторизации","tests","2026-09-22","passed","2026-09-22","TestGetOrders","test_get_orders","",""
"","150","Можно создать уникального пользователя","tests","2026-09-22","passed","2026-09-22","TestCreateUser","test_create_user","",""
"","36","Нельзя создать пользователя без обязательного поля","tests","2026-09-22","passed","2026-09-22","TestCreateUser","test_create_user","",""
